ID	ORTHOGRAPHY	CELEX	TYPE	SOURCE_FORM	SOURCE_LANGUAGE	STRATUM	ATTESTED
5777	Maschine	m a ʃ iː n ə	1	machine	frz	1	17. Jh.
5778	Maser	m aː z ə r				2	9. Jh.
5779	Masern					1	16. Jh.
5780	Maske	m a s k ə	1	masque	frz	1	17. Jh.
5781	Maskottchen	m a s k ɔ t x ə n	1	mascotte	frz	1	20. Jh.
5782	maskulin	m a s k uː l iː n	1	masculInus	l	2	15. Jh.
5783	Maß					1	14. Jh.
5784	Massaker	m a s aː k ə r	1	massacre	frz	1	17. Jh.
5785	Masse	m a s ə	1	mAssa	l	1	9. Jh.
5786	Massel 1		1			?	20. Jh.
5787	Massel 2		1	massello	it	?	18. Jh.
5788	Maßholder					?	11. Jh.
5789	massieren 1		1	masser	frz	1	18. Jh.
5790	massieren 2		1	masser	frz	2	19. Jh.
5791	mäßig					1	11. Jh.
5792	-mäßig					1	-
5793	massiv	m a s iː f	1	massif	frz	1	17. Jh.
5794	Maßliebchen					?	15. Jh.
5795	Maßnahme					1	19. Jh.
5796	Mast 1					1	9. Jh.
5797	Mast 2					1	11. Jh., mesten 8. Jh.
5798	Mastdarm	m a s t d a r m				2	15. Jh.
5799	Matador		1	matador	span	?	18. Jh.
5800	Match	m ɛ ʧ	1	match	ne	2	20. Jh.
5801	Material	m a t eː r iːaː l	1			1	15. Jh.
5802	Materialismus	m a t eː r iːaː l ɪ s m ʊ s	1	matérialisme	frz	2	18. Jh.
5803	Materie	m a t eː r iːə	1			2	13. Jh.
5804	Mathematik	m a t eː m a t iː k	1	(ars)	l	1	15. Jh.
5805	Matinee	m a t iː n eː	1	matinée	frz	?	19. Jh.
5806	Matjeshering		1	maatjesharing	nndl	2	18. Jh.
5807	Matratze	m a t r a t͡s ə	1	materas	afrz	1	15. Jh.
5808	Mätresse		1	maîtresse	frz	2	17. Jh.
5809	Matrikel	m a t r iː k ə l	1	mAtrIcula	l	?	15. Jh.
5810	Matrix	m aː t r ɪ k s	1			?	20. Jh.
5811	Matrize	m a t r iː t͡s ə	1			?	17. Jh.
5812	Matrone	m a t r oː n ə	1	mAtrOna	l	2	15. Jh.
5813	Matrose	m a t r oː z ə	1	matroos	nndl	1	17. Jh.
5814	Matsch	m a ʧ				1	18. Jh.
5815	matt	m a t	1			1	13. Jh.
5816	Matte 1		1			1	9. Jh.
5817	Matte 2					?	11. Jh.
5818	Matte 3		1			?	15. Jh.
5819	Matura		1			2	20. Jh.
5820	Matze 1		1			?	15. Jh.
5821	mau					1	19. Jh.
5822	mauen					?	14. Jh.
5823	Mauer	m auə r	1			1	8. Jh.
5824	Mauerblümchen					1	19. Jh.
5825	mauern	m auə r n				2	20. Jh.
5826	Mauerschau					?	20. Jh.
5827	Mauke					?	15. Jh.
5828	Maul	m au l				1	10. Jh.
5829	Maulbeere	m au l b eː r ə	1			?	10. Jh., murboum 8. Jh.
5830	Maulschelle					2	16. Jh.
5831	Maulwurf	m au l v ʊ r f				1	8. Jh.
5832	maunzen					2	16. Jh.
5833	Maus	m au s				1	8. Jh.
5834	mausen					1	16. Jh., mosida «Raub» 8. Jh.?
5835	Mauser	m au z ə r	1			2	19. Jh.
5836	mausetot					1	17. Jh.
5837	Maut					?	9. Jh.
5838	maxi-		1			1	-
5839	Maxime	m a k s iː m ə	1			?	17. Jh.
5840	Maximum	m a k s iː m ʊ m	1	mAximum	l	2	18. Jh.
5841	Mayonnaise	m a j ɔ n ɛː z ə	1	mayonnaise	frz	1	19. Jh.
5842	Mechanik	m eː x aː n ɪ k	1	(ars)	l	1	17. Jh.
5843	meckern	m ɛ k ə r n				1	17. Jh.
5844	Medaille	m eː d a l j ə	1	médaille	frz	1	16. Jh.
5845	Media	m eː d iːaː	1			?	19. Jh.
5846	Medien		1			2	17. Jh., Bedeutung 20. Jh.
5847	Medikament	m eː d iː k a m ɛ n t	1	medicAmentum	l	1	15. Jh.
5848	Medium	m eː d iːʊ m	1	medium	l	?	17. Jh.
5849	Medizin	m eː d iː t͡s iː n	1	(ars)	l	1	15. Jh.
5850	Meer	m eː r				1	8. Jh.
5851	Meerbusen	m eː r b uː z ə n				2	17. Jh.
5852	Meerschaum	m eː r ʃ au m				2	15. Jh.
5853	Meerschweinchen	m eː r ʃ v ai n x ə n				1	17. Jh.
5854	Meeting	m iː t ɪ ŋ	1	meeting	ne	2	20. Jh.
5855	Mehl	m eː l				1	9. Jh.
5856	Mehltau					?	9. Jh.
5857	mehr	m eː r				1	8. Jh.
5858	meiden	m ai d ə n				1	8. Jh.
5859	Meier	m aiə r	1	mAiOr(em).	l	?	11. Jh.
5860	Meile	m ai l ə	1			2	9. Jh.
5861	Meiler	m ai l ə r	1			2	15. Jh.
5862	mein	m ai n				1	8. Jh.
5863	Meineid	m ai n ai t				1	9. Jh., meinswart 8. Jh.
5864	meinen 1					1	8. Jh.
5865	meinen 2					?	13. Jh.
5866	meinethalben	m ai n ə t h a l b ə n				1	13. Jh.
5867	Meise	m ai z ə				1	10. Jh.
5868	Meißel 1					1	9. Jh.
5869	Meißel 2					?	13. Jh.
5870	meist	m ai s t				1	8. Jh.
5871	Meister	m ai s t ə r	1			1	8. Jh.
5872	Melancholie	m eː l a ŋ k oː l iː	1	melancholia	l	1	14. Jh.
5873	Melange	m eː l ɑ̃ː ʒ ə	1	mélange	frz	?	18. Jh.
5874	Melasse	m eː l a s ə	1	mélasse	frz	?	18. Jh.
5875	Melchter					?	12. Jh.
5876	Melde	m ɛ l d ə				?	9. Jh.
5877	melden	m ɛ l d ə n				1	9. Jh., meldari «Verräter» 8. Jh.
5878	meliert	m eː l iː r t	1			?	17. Jh.
5879	Melisse		1	melissa	ml	?	16. Jh.
5880	melk					?	9. Jh.
5881	melken	m ɛ l k ə n				1	8. Jh.
5882	Melodie	m eː l oː d iː	1			1	13. Jh.
5883	Melodram	m eː l oː d r aː m	1			?	18. Jh.
5884	Melone	m eː l oː n ə	1	melone	it	1	15. Jh.
5885	Membrane	m ɛ m b r aː n ə	1			?	14. Jh.
5886	Memme	m ɛ m ə				2	16. Jh.
5887	Memoiren		1	mémoires	frz	1	18. Jh.
5888	Menagerie	m eː n a ʒ ə r iː	1	ménagerie	frz	1	18. Jh.
5889	Menge	m ɛ ŋ ə				1	8. Jh.
5890	mengen	m ɛ ŋ ə n				1	8. Jh.
5891	Menhir	m ɛ n h ɪ r	1	menhir	frz	?	20. Jh.
5892	Meniskus	m eː n ɪ s k ʊ s	1			2	19. Jh.
5893	Menkenke					?	19. Jh.
5894	Mennige		1	minium	l	?	11. Jh.
5895	Mensa	m ɛ n z aː	1	mEnsa	l	2	20. Jh.
5896	Mensch	m ɛ n ʃ				1	8. Jh.
5897	Menstruation	m ɛ n s t r uːa t͡s iːoː n	1			2	19. Jh.
5898	Mensur	m ɛ n z uː r	1	mEnsUra	l	?	15. Jh.
5899	mental	m ɛ n t aː l	1	mental	ne	2	18. Jh.
5900	Menü		1	menu	frz	1	19. Jh.
5901	Menuett	m eː n uːɛ t	1	menuet	frz	?	17. Jh.
5902	Mergel		1	margila	ml	?	11. Jh.
5903	Meringe		1	méringue.	frz	2	18. Jh.
5904	Meriten		1	mérite	frz	2	16. Jh.
5905	Merle	m ɛ r l ə	1	merula	l	?	14. Jh.
5906	Mesalliance	m eː z a l iːɑ̃ː s	1	mésalliance	frz	2	18. Jh.
5907	meschugge		1			2	19. Jh.
5908	Mesner		1	mansionarius	ml	2	9. Jh.
5909	Messe 1		1	(4.	spl	1	9. Jh.
5910	Messe 2		1	mess	ne	?	19. Jh.
5911	messen	m ɛ s ə n				1	8. Jh.
5912	Messer	m ɛ s ə r				1	8. Jh.
5913	Messias	m ɛ s iːa s	1	MessiAs	kirchen-l	1	18. Jh.
5914	messing(i)sch					?	18. Jh.
5915	Met					2	9. Jh.
5916	Metall	m eː t a l	1	metallum	l	1	14. Jh.
5917	Metamorphose	m eː t a m ɔ r f oː z ə	1	metamorphOsis	l	?	18. Jh.
5918	Metapher	m eː t a f ə r	1	metaphora	l	2	17. Jh.
5919	Metaphysik	m eː t a f yː z iː k	1	metaphysica	ml	?	18. Jh.
5920	Metastase	m eː t a s t aː z ə	1			?	19. Jh.
5921	Meteor	m eː t eːoː r	1	metéOron	gr	2	17. Jh.
5922	Meteorologie	m eː t eːoː r oː l oː ɡ iː	1			2	18. Jh.
5923	Meter	m eː t ə r	1			1	18. Jh.
5924	Methode	m eː t oː d ə	1	methodus	spl	1	17. Jh.
5925	Metier	m eː t iːeː	1	métier	frz	?	18. Jh.
5926	Metonymie		1	metOnymía	gr	?	19. Jh.
5927	Metropole	m eː t r oː p oː l ə	1	mEtropolis	l	2	16. Jh.
5928	Metrum		1	metrum	l	?	19. Jh.
5929	Mette		1	mattina	spl	2	11. Jh.
5930	Metten					?	18. Jh.
5931	Mettwurst	m ɛ t v ʊ r s t				1	16. Jh.
5932	Metze 2					?	15. Jh.
5933	metzeln	m ɛ t͡s ə l n	1			1	15. Jh.
5934	Metzger	m ɛ t͡s ɡ ə r	1			2	13. Jh.
5935	meucheln	m ɔy x ə l n				2	11. Jh.
5936	Meute	m ɔy t ə	1			1	18. Jh.
5937	Meuterei	m ɔy t ə r ai	1	meuterie	mfrz	1	16. Jh.
5938	mezzo-		1			?	-
5939	miauen					1	17. Jh.
5940	mich	m ɪ x				1	8. Jh.
5941	mick(e)rig					1	20. Jh.
5942	Midder					?	18. Jh.
5943	Mieder					1	11. Jh., Form 15. Jh.
5944	Mief	m iː f				1	19. Jh.
5945	Miene	m iː n ə	1	mine	frz	1	17. Jh.
5946	Miere 1					?	17. Jh.
5947	Miere 2					?	15. Jh.
5948	mies	m iː s	1			1	19. Jh.
5949	Miesmuschel					2	18. Jh.
5950	Miete 1					1	8. Jh.
5951	Miete 2		1			?	18. Jh.
5952	Mieze					1	18. Jh.
5953	Migräne		1	migraine	frz	2	18. Jh.
5954	Mikado	m iː k aː d oː	1			2	20. Jh.
5955	Mikrobe	m iː k r oː b ə	1	microbe	frz	?	19. Jh.
5956	Mikrofiche		1	microfiche	ne	?	20. Jh.
5957	Milan		1	milan	frz	?	18. Jh.
5958	Milbe					2	9. Jh.
5959	Milch	m ɪ l x				1	8. Jh.
5960	Milchdieb					?	18. Jh.
5961	Milch(n)er					?	14. Jh., zunächst als milcher, dann 15. Jh. als milchener, und als milchling seit dem 16. Jh. bezeugt
5962	Milchmädchenrechnung					2	19. Jh.
5963	Milchzahn	m ɪ l x t͡s aː n				1	16. Jh.
5964	mild	m ɪ l t				1	8. Jh.
5965	Milieu	m iː l iːɶː	1	milieu	frz	2	19. Jh.
5966	militant	m iː l iː t a n t	1			2	20. Jh.
5967	Militär		1	militaire	frz	1	18. Jh.
5968	Miliz	m iː l iː t͡s	1	mIlitia	l	2	17. Jh.
5969	Milken					?	20. Jh.
5970	Mille		1	mIlle	l	1	20. Jh.
5971	Milliarde	m ɪ l iːa r d ə	1	milliard	frz	1	18. Jh.
5972	Million	m ɪ l iːoː n	1	milione	it	1	15. Jh.
5973	Milz	m ɪ l t͡s				1	9. Jh.
5974	Mimik	m iː m ɪ k	1	(ars)	l	2	18. Jh.
5975	Mimikry		1	mimicry	ne	?	20. Jh.
5976	Mimose	m iː m oː z ə	1			2	17. Jh.
5977	Minarett	m iː n a r ɛ t	1	minaret	frz	?	18. Jh.
5978	minder	m ɪ n d ə r				2	8. Jh.
5979	Mine	m iː n ə	1			1	16. Jh.
5980	Mineral	m iː n eː r aː l	1	(aes)	ml	2	16. Jh.
5981	Miniatur	m iː n iːa t uː r	1	miniatura	it	2	17. Jh.
5982	Minimum	m iː n iː m ʊ m	1	minimum	l	2	18. Jh.
5983	Minister	m iː n ɪ s t ə r	1	minister	l	1	14. Jh.
5984	Mink	m ɪ ŋ k	1	mink	ne	?	20. Jh.
5985	Minne	m ɪ n ə				2	8. Jh.
5986	Minorität		1			2	18. Jh.
5987	minus	m iː n ʊ s	1	minus	l	2	14. Jh.
5988	Minuskel		1			?	19. Jh.
5989	Minute	m iː n uː t ə	1	minUta	spl	1	15. Jh.
5990	minuziös		1	minutieux	frz	2	18. Jh.
5991	Minze	m ɪ n t͡s ə	1			1	8. Jh.
5992	mir					1	8. Jh.
5993	Mirabelle	m iː r a b ɛ l ə	1	mirabelle	frz	1	18. Jh.
5994	Mirakel	m iː r aː k ə l	1	mIrAculum	l	2	14. Jh.
5995	Misanthrop	m iː z a n t r oː p	1	misanthrope	frz	?	18. Jh.
5996	mischen	m ɪ ʃ ə n	1			1	8. Jh.
5997	Mischmasch	m ɪ ʃ m a ʃ				1	16. Jh.
5998	Mischpoche		1			2	20. Jh.
5999	Misel					?	18. Jh.
6000	miserabel	m iː z eː r aː b ə l	1	misérable	frz	1	17. Jh.
6001	Misere		1	misère	frz	2	18. Jh.
6002	Mispel	m ɪ s p ə l	1	mespilum	l	?	11. Jh.
6003	miß-, misse-					1	-
6004	missen	m ɪ s ə n				1	9. Jh.
6005	Mißgeburt					1	16. Jh.
6006	mißhellig					1	11. Jh., Form 14. Jh.
6007	Mission	m ɪ s iːoː n	1	missio	l	1	16. Jh.
6008	mißlich					2	16. Jh.
6009	mißlingen					1	11. Jh.
6010	Mißpickel					?	16. Jh.
6011	Mist	m ɪ s t				1	9. Jh., mistunna «Misthaufen» 8. Jh.
6012	Mistel	m ɪ s t ə l				2	9. Jh.
6013	Miszellen		1	miscilla	l	?	18. Jh.
6014	mit	m ɪ t				1	8. Jh.
6015	Mitesser	m iː t ɛ s ə r				2	17. Jh.
6016	Mitgift	m ɪ t ɡ ɪ f t				2	15. Jh.
6017	Mitglied	m ɪ t ɡ l iː t				1	16. Jh.
6018	Mitlaut	m ɪ t l au t				2	16. Jh., Form 18. Jh.
6019	Mitleid	m ɪ t l ai t				1	14. Jh., Form 17. Jh.
6020	Mittag	m ɪ t aː k				1	8. Jh., Form 12. Jh.
6021	Mitte	m ɪ t ə				1	11. Jh.
6022	mittel	m ɪ t ə l				1	8. Jh.
6023	mitten	m ɪ t ə n				1	13. Jh.
6024	Mitternacht	m ɪ t ə r n a x t				1	14. Jh.
6025	mittlerweile	m ɪ t l ə r v ai l ə				1	16. Jh.
6026	Mittwoch	m ɪ t v ɔ x				1	11. Jh.
6027	mitunter					1	18. Jh.
6028	mixen	m ɪ k s ə n	1	mix	ne	1	20. Jh.
6029	Mixtur	m ɪ k s t uː r	1			2	13. Jh.
6030	Mob		1	mob.	ne	2	18. Jh.
6031	Mobbing		1			2	20. Jh.
6032	Möbel		1	meuble	frz	1	17. Jh.
6033	mobil	m oː b iː l	1	mobile	frz	2	18. Jh.
6034	Mobiliar	m oː b iː l iːaː r	1			2	18. Jh.
6035	Mode	m oː d ə	1	mode	frz	1	17. Jh.
6036	Model	m oː d ə l	1	modulus	l	?	11. Jh.
6037	Modell	m oː d ɛ l	1			1	17. Jh.
6038	Moder	m oː d ə r				1	14. Jh.
6039	moderat		1	moderAtus	l	?	19. Jh.
6040	modern	m oː d ɛ r n	1	moderne	frz	1	18. Jh.
6041	Modus	m oː d ʊ s	1	modus	l	?	17. Jh.
6042	Mofa	m oː f aː				?	20. Jh.
6043	mogeln	m oː ɡ ə l n				1	18. Jh.
6044	mögen					1	8. Jh.
6045	möglich					1	13. Jh.
6046	Mohair	m oː h ɛː r	1	mohair	ne	?	19. Jh.
6047	Möhre					2	10. Jh.
6048	Mokassin	m oː k a s iː n	1	moccasin	ne	?	18. Jh., Bedeutung 20. Jh.
6049	Mokka	m ɔ k aː	1	moka	frz	1	19. Jh.
6050	Molch	m ɔ l x				2	8. Jh., Form 15. Jh.
6051	Mole	m oː l ə	1			?	16. Jh.
6052	Molekül		1	molécule	frz	2	18. Jh.
6053	Molke	m ɔ l k ə				2	14. Jh.
6054	Moll	m ɔ l	1	molle	l	2	16. Jh.
6055	Molle					?	19. Jh.
6056	mollig	m ɔ l ɪ x				1	19. Jh.
6057	Moloch		1	Moloch	spl	2	17. Jh.
6058	molsch					?	16. Jh.
6059	molum		1			?	18. Jh.
6060	Moment	m oː m ɛ n t	1			1	13. Jh.
6061	Monarch	m oː n a r x	1	monarcha	ml	2	16. Jh.
6062	Monat	m oː n aː t				1	8. Jh.
6063	Mönch		1			1	8. Jh.
6064	Mond	m oː n t				1	8. Jh., Form 14. Jh.
6065	mondän		1	mondain	frz	2	19. Jh.
6066	Mondkalb					?	16. Jh.
6067	mondsüchtig					2	15. Jh.
6068	Moneten		1			?	18. Jh.
6069	Monitor	m oː n iː t ɔ r	1	monitor	ne	?	20. Jh.
6070	Monogramm	m oː n oː ɡ r a m	1	monogramma	spl	2	17. Jh.
6071	Monokel	m oː n ɔ k ə l	1	monocle	frz	2	19. Jh.
6072	Monokini		1			?	20. Jh.
6073	Monolog	m oː n oː l oː k	1	monologue	frz	1	18. Jh.
6074	Monopol	m oː n oː p oː l	1	monopOlium	l	1	16. Jh.
6075	monoton	m oː n oː t oː n	1	monotone	frz	1	18. Jh.
6076	Monstranz	m ɔ n s t r a n t͡s	1	monstrantia	ml	2	14. Jh.
6077	Monsun	m ɔ n z uː n	1	monsoon	ne	?	17. Jh.
6078	Montag	m oː n t aː k				1	11. Jh.
6079	montan	m ɔ n t aː n	1	montAnus	l	?	19. Jh.
6080	Monument	m oː n uː m ɛ n t	1	monumentum	l	1	16. Jh.
6081	Moor	m oː r				1	17. Jh.
6082	Moos 1					1	8. Jh.
6083	Moos 2		1			?	15. Jh., Form 18. Jh.
6084	Mop	m ɔ p	1	mop.	ne	2	20. Jh.
6085	Moped	m oː p ɛ t				2	20. Jh.
6086	Mops	m ɔ p s				1	18. Jh.
6087	mopsen	m ɔ p s ə n				2	19. Jh.
6088	Moral	m oː r aː l	1	morale	frz	1	16. Jh.
6089	Moräne		1	moraine	frz	?	19. Jh.
6090	Morast	m oː r a s t	1	maras	mndl	2	17. Jh.
6091	morbid	m ɔ r b iː t	1	morbide	frz	2	19. Jh.
6092	Morchel	m ɔ r x ə l				1	12. Jh., Bedeutung 14. Jh.
6093	Mord	m ɔ r t				1	9. Jh., murden Vsw. 8. Jh.
6094	mordio					?	16. Jh.
6095	Morelle	m oː r ɛ l ə	1			?	17. Jh.
6096	Mores		1			2	15. Jh.
6097	morganatisch		1			?	18. Jh.
6098	morgen	m ɔ r ɡ ə n				1	9. Jh.
6099	Morgen	m ɔ r ɡ ə n				1	8. Jh.
6100	Morgengabe	m ɔ r ɡ ə n ɡ aː b ə				?	9. Jh., Form 12. Jh.
6101	Morgenland	m ɔ r ɡ ə n l a n t				2	16. Jh.
6102	Morgenstern	m ɔ r ɡ ə n ʃ t ɛ r n				2	12. Jh.
6103	morsch	m ɔ r ʃ				1	15. Jh., Form 16. Jh.
6104	Mörser		1			1	9. Jh.
6105	Mörtel		1	mortArium	l	2	11. Jh.
6106	Mosaik	m oː z aiː k	1	mosaIque	frz	2	18. Jh.
6107	Moschee	m oː ʃ eː	1			2	14. Jh.
6108	Moschus	m oː ʃ ʊ s	1	mUscus	spl	?	17. Jh.
6109	Möse					?	19. Jh.
6110	mosern	m oː z ə r n	1			2	18. Jh.
6111	Moskito	m ɔ s k iː t oː	1	mosquito	span	2	16. Jh.
6112	Most	m ɔ s t	1			1	8. Jh.
6113	Mostrich	m ɔ s t r ɪ x	1			?	14. Jh.
6114	Motel	m oː t ə l	1			?	20. Jh.
6115	Motette	m oː t ɛ t ə	1			?	14. Jh.
6116	Motiv	m oː t iː f	1	motivum	ml	1	16. Jh.
6117	Motte	m ɔ t ə				1	15. Jh.
6118	Motto	m ɔ t oː	1	motto	it	2	18. Jh.
6119	motzen	m ɔ t͡s ə n				2	17. Jh.
6120	Möwe					1	15. Jh.
6121	Mücke					1	8. Jh.
6122	Muckefuck					?	19. Jh.
6123	mucken	m ʊ k ə n				2	15. Jh.
6124	Mucken					2	16. Jh.
6125	mucksen					1	12. Jh.
6126	müde					1	8. Jh.
6127	Muff 1		1			2	17. Jh.
6128	Muff 2					?	17. Jh.
6129	muffeln 2					?	15. Jh.
6130	Mufti	m ʊ f t iː	1			?	17. Jh.
6131	muhen	m uːə n				1	15. Jh.
6132	mühen					1	8. Jh.
6133	Mühle		1			1	10. Jh.
6134	Muhme					2	9. Jh.
6135	Mulatte	m uː l a t ə	1	mulato	span	?	16. Jh.
6136	Mulch		1			?	20. Jh.
6137	Mulde	m ʊ l d ə	1	mulctra	l	1	10. Jh.
6138	Mull	m ʊ l	1	mull	ne	2	18. Jh.
6139	Müll					1	11. Jh.
6140	Müller		1			1	11. Jh.
6141	Mulm	m ʊ l m				?	17. Jh.
6142	mulmig	m ʊ l m ɪ x				1	20. Jh.
6143	mulsch					?	16. Jh.
6144	Mumie	m uː m iːə	1	mummia	it	2	16. Jh.
6145	Mumm					1	19. Jh.
6146	Mumme	m ʊ m ə	1			?	16. Jh.
6147	mummeln	m ʊ m ə l n				?	15. Jh.
6148	Mummenschanz					2	16. Jh.
6149	Mumpitz					2	19. Jh.
6150	Mumps		1			?	19. Jh.
6151	Mund 1					1	8. Jh.
6152	Mund 2					?	9. Jh.
6153	Mundart	m ʊ n t aː r t				1	17. Jh.
6154	Mündel					2	15. Jh.
6155	mündig					1	14. Jh.
6156	Mundraub	m ʊ n t r au p				2	18. Jh.
6157	mundtot	m ʊ n tt oː t				1	17. Jh.
6158	Mündung					1	18. Jh.
6159	Muni					?	19. Jh.
6160	Munition	m uː n iː t͡s iːoː n	1	munition(s)	frz	1	16. Jh.
6161	munkeln	m ʊ ŋ k ə l n				1	16. Jh.
6162	Münne					?	11. Jh.
6163	Münster		1			1	8. Jh.
6164	munter	m ʊ n t ə r				1	8. Jh.
6165	Mur(e)					?	19. Jh.
6166	Muräne		1	mUrEna	l	?	14. Jh.
6167	mürb					1	8. Jh.
6168	Murk					?	15. Jh.
6169	murmeln	m ʊ r m ə l n				1	8. Jh.
6170	Murmeltier	m ʊ r m ə l t iː r	1			1	9. Jh.
6171	murren	m ʊ r ə n				1	15. Jh.
6172	Mus	m uː s				1	8. Jh.
6173	Musche		1	mouche	frz	?	17. Jh.
6174	Muschel	m ʊ ʃ ə l	1			1	9. Jh.
6175	Muschi					?	15. Jh., Form 19. Jh.
6176	Muse	m uː z ə	1	Mousa	gr	2	17. Jh.
6177	Muselman(n)		1			2	17. Jh.
6178	Museum	m uː z eːʊ m	1	mUsEum	l	1	16. Jh.
6179	Musical	m j uː z iː k ə l	1			1	20. Jh.
6180	Musik	m uː z iː k	1			1	9. Jh.
6181	Muskat	m ʊ s k aː t	1			2	13. Jh.
6182	Muskel	m ʊ s k ə l	1	mUsculus	l	1	18. Jh.
6183	Muskelkater	m ʊ s k ə l k aː t ə r				1	20. Jh.
6184	Muskete	m ʊ s k eː t ə	1	mosquete	span	2	16. Jh.
6185	Muße					1	9. Jh., in muozom «allmählich» 8. Jh.
6186	müssen					1	8. Jh.
6187	Mustang	m ʊ s t a ŋ	1	mustang	ne	2	19. Jh.
6188	muster					?	20. Jh.
6189	Muster	m ʊ s t ə r	1			1	15. Jh.
6190	Mut	m uː t				1	8. Jh.
6191	muten	m uː t ə n				?	9. Jh.
6192	mutmaßen					1	14. Jh.
6193	Mutt		1			?	9. Jh.
6194	Mutter	m ʊ t ə r				1	8. Jh.
6195	Mutterkorn					?	18. Jh.
6196	Mutterkrebs					?	18. Jh.
6197	Muttermal	m ʊ t ə r m aː l				1	16. Jh.
6198	mutterseelenallein	m ʊ t ə r z eː l eː n a l ai n				1	18. Jh.
6199	Mutterwitz					1	17. Jh.
6200	Mutwille	m uː t v ɪ l ə				1	8. Jh.
6201	Mütze		1			1	14. Jh., Form 15. Jh.
6202	Myriade	m yː r iːaː d ə	1	myriad	ne	?	17. Jh.
6203	Myrrhe	m ʏ r ə	1			2	8. Jh.
6204	Myrte	m ʏ r t ə	1	murtus	l	2	10. Jh.
6205	Mysterium	m ʏ s t eː r iːʊ m	1	mystErium	l	2	16. Jh.
6206	Mystik	m ʏ s t ɪ k	1			2	16. Jh.
6207	Mythos	m yː t ɔ s	1	mYthos	gr	2	19. Jh.
6208	na					1	16. Jh.
6209	Nabe	n aː b ə				2	9. Jh.
6210	Nabel	n aː b ə l				1	8. Jh.
6211	Näber					?	10. Jh.
6212	Nabob		1	nabob	ne	?	18. Jh.
6213	nach	n aː x				1	8. Jh.
6214	nachäffen					1	16. Jh., etwas älter nachaffen
6215	Nachbar	n a x b aː r				1	8. Jh., Form 14. Jh.
6216	Nachen					2	11. Jh.
6217	nachgerade	n aː x ɡ ə r aː d ə				2	17. Jh.
6218	nachhaltig	n aː x h a l t ɪ x				1	18. Jh.
6219	Nachricht	n aː x r ɪ x t				1	16. Jh., Form 17. Jh.
6220	Nachrichter					?	12. Jh.
6221	nachschlagen	n aː x ʃ l aː ɡ ə n				1	14. Jh.
6222	nachstellen	n aː x ʃ t ɛ l ə n				1	16. Jh.
6223	Nacht	n a x t				1	8. Jh.
6224	nächten					?	9. Jh.
6225	Nachtigall	n a x t iː ɡ a l				1	8. Jh.
6226	Nachtschatten	n a x ʧ a t ə n				2	11. Jh.
6227	Nacken	n a k ə n				1	8. Jh.
6228	nackt	n a k t				1	9. Jh., ginackuton 8. Jh.
6229	Nadel	n aː d ə l				1	9. Jh.
6230	nafzen					?	8. Jh.
6231	Nagel	n aː ɡ ə l				1	8. Jh.
6232	Nagelfluh					?	18. Jh.
6233	nagelneu	n aː ɡ ə l n ɔy				1	15. Jh.
6234	nagen	n aː ɡ ə n				1	9. Jh.
6235	nah(e)					1	8. Jh.
6236	nähen					1	9. Jh., ginaen 8. Jh.
6237	nähren					1	8. Jh.
6238	Naht	n aː t				1	11. Jh.
6239	naiv	n aiː f	1	naIf	frz	1	18. Jh.
6240	Name	n aː m ə				1	8. Jh.
6241	namentlich	n aː m ə n t l ɪ x				1	13. Jh., Form 15. Jh.
6242	nämlich					1	13. Jh.
6243	Napf	n a p f				1	8. Jh.
6244	Naphtha		1	naphtha	gr	?	16. Jh.
6245	Narbe	n a r b ə				1	12. Jh.
6246	Narkose	n a r k oː z ə	1	nárkOsis	gr	1	18. Jh.
6247	Narr	n a r				1	8. Jh.
6248	Narretei	n a r ə t ai				2	17. Jh.
6249	Narwal		1	narval	nschw	?	18. Jh.
6250	Narzisse	n a r t͡s ɪ s ə	1	narcissus	l	1	16. Jh.
6251	naschen	n a ʃ ə n				1	11. Jh.
6252	Nase	n aː z ə				1	8. Jh.
6253	Nasenstüber					2	17. Jh.
6254	naseweis	n aː z ə v ai s				1	16. Jh.
6255	Nashorn	n aː s h ɔ r n				1	16. Jh.
6256	naß					1	8. Jh.
6257	Nassauer	n a s auə r	1			2	19. Jh.
6258	Nation	n a t iːoː n	1	nAtio	l	1	14. Jh.
6259	Natron	n aː t r ɔ n	1			2	16. Jh. 
6260	Natter	n a t ə r				1	8. Jh.
6261	Natur	n a t uː r	1			1	9. Jh.
6262	Naturalien	n a t uː r aː l iːə n	1	nAtUrAlia	l	2	17. Jh.
6263	Naturell	n a t uː r ɛ l	1	naturel	frz	2	17. Jh.
6264	Naue		1	nAvis	l	?	13. Jh.
6265	Nautik	n au t ɪ k	1	nautikE	gr	?	18. Jh.
6266	Navigation	n a v iː ɡ a t͡s iːoː n	1	nAvigAtio	l	?	16. Jh.
6267	Nebbich		1			?	19. Jh.
6268	Nebel	n eː b ə l				1	8. Jh.
6269	neben	n eː b ə n				1	11. Jh.
6270	Nebenbuhler	n eː b ə n b uː l ə r				1	17. Jh.
6271	Nebensache	n eː b ə n z a x ə				1	17. Jh.
6272	nebst	n eː p s t				1	17. Jh.
6273	Necessaire		1	nécessaire;	frz	2	18. Jh.
6274	necken	n ɛ k ə n				1	11. Jh., Form 14. Jh.
6275	Neffe	n ɛ f ə				1	9. Jh.
