# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	ALIGNMENT	STRUCTURE	PATTERNS
743	Danish	heavy	102	tɔŋˀ	t ɔ ŋˀ	166	t ɔ ŋˀ - - -	c c c	119-3/t 60-2/ɔ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
744	Swedish	heavy	102	svoːr	s v oː r	164	s v oː r	c c c c	20-3/s 94-9/v 73-2/ɛˀ 95-23/ʁ 0/n 0/n 0/n 0/n
745	Icelandic	heavy	102	θuŋkʏr	θ u ŋ k ʏ r	166	θ u ŋ k ʏ r	c c c c c c	119-3/t 60-2/ɔ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
746	Dutch	heavy	102	zʋaːr	z ʋ aː r	164	z ʋ aː r	c c c c	20-3/s 94-9/v 73-2/ɛˀ 95-23/ʁ 0/n 0/n 0/n 0/n
747	Norwegian	heavy	102	tuŋ	t u ŋ	166	t u ŋ - - -	c c c	119-3/t 60-2/ɔ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
748	Danish	heavy	102	svɛˀʁ	s v ɛˀ ʁ	164	s v ɛˀ ʁ	c c c c	20-3/s 94-9/v 73-2/ɛˀ 95-23/ʁ 0/n 0/n 0/n 0/n
749	Swedish	heavy	102	tuŋː	t u ŋː	166	t u ŋː - - -	c c c	119-3/t 60-2/ɔ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
#
288	German	horn	41	hɔrn	h ɔ r n	64	h ɔ r n	c c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n
289	English	horn	41	hɔːrn	h ɔː r n	64	h ɔː r n	c c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n 0/n
290	Danish	horn	41	hoʁˀn	h o ʁˀ n	64	h o ʁˀ n	c c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n 0/n
291	Swedish	horn	41	hoːrn	h oː r n	64	h oː r n	c c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n 0/n
292	Icelandic	horn	41	hɔrt͡n	h ɔ r t͡n	64	h ɔ r t͡n	c c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n 0/n 0/n
293	Dutch	horn	41	hoːrn	h oː r n	64	h oː r n	c c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n 0/n
294	Norwegian	horn	41	huːɳ	h uː ɳ	64	h uː - ɳ	c c c	229-9/h 1-1/o 131-2/ʁˀ 153-1/n 0/n 0/n 0/n 0/n
#
302	German	kill (V)	43	tøːtən	t øː t ə n	67	t øː t ə n	c c c c c	187-6/d 99-2/øːʌ 187-6/d 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
303	English	kill (V)	43	kɪl	k ɪ l	68	k ɪ l	c c c	0/n 0/n 0/n 0/n 0/n
304	Danish	kill (V)	43	dʁɛːbə	d ʁ ɛː b ə	66	d ʁ ɛː b ə	c c c c c	187-6/d 95-23/ʁ 98-1/ɛː 289-1/b 6-11/ə 0/n 0/n 0/n 0/n 0/n
305	Swedish	kill (V)	43	døːda	d øː d a	67	d øː d a -	c c c c	187-6/d 99-2/øːʌ 187-6/d 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
306	Icelandic	kill (V)	43	trɛːpa	t r ɛː p a	66	t r ɛː p a	c c c c c	187-6/d 95-23/ʁ 98-1/ɛː 289-1/b 6-11/ə 0/n 0/n 0/n 0/n 0/n
307	Dutch	kill (V)	43	doːdə	d oː d ə	67	d oː d ə -	c c c c	187-6/d 99-2/øːʌ 187-6/d 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
308	Norwegian	kill (V)	43	dɾeːpə	d ɾ eː p ə	66	d ɾ eː p ə	c c c c c	187-6/d 95-23/ʁ 98-1/ɛː 289-1/b 6-11/ə 0/n 0/n 0/n 0/n 0/n
309	Swedish	kill (V)	43	drɛpa	d r ɛ p a	66	d r ɛ p a	c c c c c	187-6/d 95-23/ʁ 98-1/ɛː 289-1/b 6-11/ə 0/n 0/n 0/n 0/n
#
310	German	knee	44	kniː	k n iː	69	k n iː	c c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n
311	English	knee	44	niː	n iː	69	- n iː	c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n
312	Danish	knee	44	knɛˀ	k n ɛˀ	69	k n ɛˀ	c c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n
313	Swedish	knee	44	knɛː	k n ɛː	69	k n ɛː	c c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n
314	Icelandic	knee	44	kʰniɛː	kʰ n iɛː	69	kʰ n iɛː	c c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n 0/n 0/n
315	Dutch	knee	44	kniː	k n iː	69	k n iː	c c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n
316	Norwegian	knee	44	kneː	k n eː	69	k n eː	c c c	160-1/k 238-12/n 250-1/ɛˀ 0/n 0/n 0/n
#
317	German	know (V)	45	vɪsən	v ɪ s ə n	70	v ɪ s ə n	c c c c c	94-9/v 310-1/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n
318	English	know (V)	45	nəʊ	n əʊ	71	- - n əʊ -	c c	260-2/k 108-3/ɛ 136-3/n 144-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
319	Danish	know (V)	45	viːðə	v iː ð ə	70	v iː ð ə -	c c c c	94-9/v 310-1/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
320	Swedish	know (V)	45	ɕɛnna	ɕ ɛ nː a	71	ɕ ɛ nː a -	c c c c	260-2/k 108-3/ɛ 136-3/n 144-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
321	Icelandic	know (V)	45	vɪːta	v ɪː t a	70	v ɪː t a -	c c c c	94-9/v 310-1/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
322	Dutch	know (V)	45	ʋeːtə	ʋ eː t ə	70	ʋ eː t ə -	c c c c	94-9/v 310-1/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
323	Norwegian	know (V)	45	ʋiːtə	ʋ iː t ə	70	ʋ iː t ə -	c c c c	94-9/v 310-1/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
324	German	know (V)	45	kɛnən	k ɛ n ə n	71	k ɛ n ə n	c c c c c	260-2/k 108-3/ɛ 136-3/n 144-1/ə 38-19/- 0/n 0/n 0/n 0/n
325	Danish	know (V)	45	kɛnə	k ɛ n ə	71	k ɛ n ə -	c c c c	260-2/k 108-3/ɛ 136-3/n 144-1/ə 38-19/- 0/n 0/n 0/n 0/n
326	Swedish	know (V)	45	veta	v e t a	70	v e t a -	c c c c	94-9/v 310-1/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n
327	Dutch	know (V)	45	kɛnə	k ɛ n ə	71	k ɛ n ə -	c c c c	260-2/k 108-3/ɛ 136-3/n 144-1/ə 38-19/- 0/n 0/n 0/n 0/n
328	Norwegian	know (V)	45	çenə	ç e n ə	71	ç e n ə -	c c c c	260-2/k 108-3/ɛ 136-3/n 144-1/ə 38-19/- 0/n 0/n 0/n 0/n
#
329	German	leaf	46	blat	b l a t	72	b l a t	c c c c	162-8/b 44-18/l 17-2/a 223-2/ð 0/n 0/n 0/n
330	English	leaf	46	liːf	l iː f	73	l iː f	c c c	44-18/l 248-1/Ø 16-2/w 0/n 0/n 0/n
331	Danish	leaf	46	blað	b l a ð	72	b l a ð	c c c c	162-8/b 44-18/l 17-2/a 223-2/ð 0/n 0/n 0/n
332	Swedish	leaf	46	blad	b l a d	72	b l a d	c c c c	162-8/b 44-18/l 17-2/a 223-2/ð 0/n 0/n 0/n
333	Icelandic	leaf	46	plaːð	p l aː ð	72	p l aː ð	c c c c	162-8/b 44-18/l 17-2/a 223-2/ð 0/n 0/n 0/n 0/n
334	Dutch	leaf	46	blɑt	b l ɑ t	72	b l ɑ t	c c c c	162-8/b 44-18/l 17-2/a 223-2/ð 0/n 0/n 0/n
335	Norwegian	leaf	46	blɑː	b l ɑː	-72	b l ɑː	c c c	0/n 0/n 0/n 0/n 0/n 0/n
336	Swedish	leaf	46	blad	b l a d	72	b l a d	c c c c	162-8/b 44-18/l 17-2/a 223-2/ð 0/n 0/n 0/n
337	Icelandic	leaf	46	løyːv	l øyː v	73	l øyː v	c c c	44-18/l 248-1/Ø 16-2/w 0/n 0/n 0/n 0/n
338	Norwegian	leaf	46	løːʋ	l øː ʋ	73	l øː ʋ	c c c	44-18/l 248-1/Ø 16-2/w 0/n 0/n 0/n
#
339	German	lie (V)	47	liːɡən	l iː ɡ ə n	74	l iː ɡ ə n	c c c c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
340	English	lie (V)	47	laɪ	l aɪ	74	l - - aɪ -	c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
341	Danish	lie (V)	47	legə	l e g ə	74	l e g ə -	c c c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n
342	Swedish	lie (V)	47	ligːa	l i gː a	74	l i gː a -	c c c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
343	Icelandic	lie (V)	47	lɪcːa	l ɪ cː a	74	l ɪ cː a -	c c c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
344	Dutch	lie (V)	47	lɪɣə	l ɪ ɣ ə	74	l ɪ ɣ ə -	c c c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n
345	Norwegian	lie (V)	47	ligə	l i g ə	74	l i g ə -	c c c c	44-18/l 90-1/e 283-1/g 273-1/ə 38-19/- 0/n 0/n 0/n 0/n
#
346	German	liver	48	leːbər	l eː b ə r	75	l eː b ə r	c c c c c	44-18/l 199-1/e 180-1/wˀ 168-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n
347	English	liver	48	lɪvər	l ɪ v ə r	75	l ɪ v ə r	c c c c c	44-18/l 199-1/e 180-1/wˀ 168-1/ʌ 37-5/- 0/n 0/n 0/n 0/n
348	Danish	liver	48	lewˀʌ	l e wˀ ʌ	75	l e wˀ ʌ -	c c c c	44-18/l 199-1/e 180-1/wˀ 168-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n
349	Swedish	liver	48	leːver	l eː v e r	75	l eː v e r	c c c c c	44-18/l 199-1/e 180-1/wˀ 168-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n
350	Icelandic	liver	48	lɪːvʏr	l ɪː v ʏ r	75	l ɪː v ʏ r	c c c c c	44-18/l 199-1/e 180-1/wˀ 168-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n
351	Dutch	liver	48	leːvər	l eː v ə r	75	l eː v ə r	c c c c c	44-18/l 199-1/e 180-1/wˀ 168-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n
352	Norwegian	liver	48	leʋəɾ	l e ʋ ə ɾ	-75	l e ʋ ə ɾ	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
353	German	long	49	laŋ	l a ŋ	76	l a ŋ - - -	c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
354	English	long	49	lɔŋ	l ɔ ŋ	76	l ɔ ŋ - - -	c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
355	Danish	long	49	lɑŋˀ	l ɑ ŋˀ	76	l ɑ ŋˀ - - -	c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
356	Swedish	long	49	loŋː	l o ŋː	76	l o ŋː - - -	c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
357	Icelandic	long	49	laŋkʏr	l a ŋ k ʏ r	76	l a ŋ k ʏ r	c c c c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
358	Dutch	long	49	lɑŋ	l ɑ ŋ	76	l ɑ ŋ - - -	c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
359	Norwegian	long	49	lɑŋ	l ɑ ŋ	76	l ɑ ŋ - - -	c c c	44-18/l 149-1/ɑ 298-2/ŋˀ 63-4/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
#
360	German	louse	50	laus	l au s	77	l au s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
361	English	louse	50	laʊs	l aʊ s	77	l aʊ s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
362	Danish	louse	50	luˀs	l uˀ s	77	l uˀ s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
363	Swedish	louse	50	luːs	l uː s	77	l uː s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
364	Icelandic	louse	50	luːs	l uː s	77	l uː s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
365	Dutch	louse	50	lœys	l œy s	77	l œy s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
366	Norwegian	louse	50	lʉːs	l ʉː s	77	l ʉː s	c c c	44-18/l 72-1/uˀ 256-3/s 0/n 0/n 0/n
#
367	German	man	51	man	m a n	78	m a n - -	c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n
368	English	man	51	mæn	m æ n	78	m æ n - -	c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n
369	Danish	man	51	manˀ	m a nˀ	78	m a nˀ - -	c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
370	Swedish	man	51	manː	m a nː	78	m a nː - -	c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
371	Icelandic	man	51	maːðʏr	m aː ð ʏ r	78	m aː ð ʏ r	c c c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
372	Dutch	man	51	mɑn	m ɑ n	78	m ɑ n - -	c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n
373	Norwegian	man	51	mɑn	m ɑ n	78	m ɑ n - -	c c c	157-14/m 17-2/a 196-1/nˀ 209-21/- 299-22/- 0/n 0/n 0/n 0/n
#
374	German	many	52	fiːl	f iː l	81	f iː l	c c c	83-15/f 35-2/ɛ 44-18/l 0/n 0/n 0/n
375	English	many	52	mɛnɪ	m ɛ n ɪ	79	m ɛ n ɪ -	c c c c	157-14/m 28-2/ɑ 225-2/ŋ 309-1/ə 19-1/n 0/n 0/n 0/n 0/n
376	Danish	many	52	mɑŋən	m ɑ ŋ ə n	79	m ɑ ŋ ə n	c c c c c	157-14/m 28-2/ɑ 225-2/ŋ 309-1/ə 19-1/n 0/n 0/n 0/n 0/n
377	Swedish	many	52	mʏkɛt	m ʏ k ɛ t	80	m ʏ k ɛ t	c c c c c	157-14/m 290-1/Ø 175-1/Ø 224-2/Ø 52-1/Ø 0/n 0/n 0/n 0/n
378	Icelandic	many	52	mɪːcɪð	m ɪː c ɪ ð	80	m ɪː c ɪ ð	c c c c c	157-14/m 290-1/Ø 175-1/Ø 224-2/Ø 52-1/Ø 0/n 0/n 0/n 0/n 0/n
379	Dutch	many	52	veːl	v eː l	81	v eː l	c c c	83-15/f 35-2/ɛ 44-18/l 0/n 0/n 0/n
380	Norwegian	many	52	mɑŋə	m ɑ ŋ ə	79	m ɑ ŋ ə -	c c c c	157-14/m 28-2/ɑ 225-2/ŋ 309-1/ə 19-1/n 0/n 0/n 0/n 0/n
381	English	many	52	mʌʧ	m ʌ ʧ	80	m ʌ ʧ - -	c c c	157-14/m 290-1/Ø 175-1/Ø 224-2/Ø 52-1/Ø 0/n 0/n 0/n 0/n
382	Swedish	many	52	moŋːa	m o ŋː a	79	m o ŋː a -	c c c c	157-14/m 28-2/ɑ 225-2/ŋ 309-1/ə 19-1/n 0/n 0/n 0/n 0/n 0/n
383	Norwegian	many	52	meːgət	m eː g ə t	80	m eː g ə t	c c c c c	157-14/m 290-1/Ø 175-1/Ø 224-2/Ø 52-1/Ø 0/n 0/n 0/n 0/n 0/n
#
384	German	meat	53	flaiʃ	f l ai ʃ	82	f l ai ʃ	c c c c	83-15/f 44-18/l 13-2/eˀ 130-7/s 0/n 0/n 0/n 0/n
385	English	meat	53	miːt	m iː t	84	m iː t	c c c	0/n 0/n 0/n 0/n 0/n 0/n
386	Danish	meat	53	køð	k ø ð	83	k - ø ð	c c c	260-2/k 143-6/- 71-1/ø 92-2/ð 0/n 0/n 0/n
387	Swedish	meat	53	ɕøtː	ɕ ø tː	83	ɕ - ø tː	c c c	260-2/k 143-6/- 71-1/ø 92-2/ð 0/n 0/n 0/n 0/n
388	Icelandic	meat	53	kʰjœːt	kʰ j œː t	83	kʰ j œː t	c c c c	260-2/k 143-6/- 71-1/ø 92-2/ð 0/n 0/n 0/n 0/n 0/n
389	Dutch	meat	53	vleːs	v l eː s	82	v l eː s	c c c c	83-15/f 44-18/l 13-2/eˀ 130-7/s 0/n 0/n 0/n 0/n
390	Norwegian	meat	53	çœt	ç œ t	83	ç - œ t	c c c	260-2/k 143-6/- 71-1/ø 92-2/ð 0/n 0/n 0/n
#
391	German	moon	54	moːnt	m oː n t	86	m oː n t -	c c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n
392	English	moon	54	muːn	m uː n	86	m uː n - -	c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n
393	Danish	moon	54	mɔːnə	m ɔː n ə	86	m ɔː n - ə	c c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n
394	Swedish	moon	54	moːne	m oː n e	86	m oː n - e	c c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n
395	Icelandic	moon	54	tʰuŋl	tʰ u ŋ l	85	tʰ u ŋ l	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
396	Dutch	moon	54	maːn	m aː n	86	m aː n - -	c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n
397	Norwegian	moon	54	mɑːnə	m ɑː n ə	86	m ɑː n - ə	c c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n
398	Icelandic	moon	54	mauːnɪ	m auː n ɪ	86	m auː n - ɪ	c c c c	157-14/m 30-1/ɔː 238-12/n 291-1/- 234-5/ə 0/n 0/n 0/n 0/n 0/n 0/n
#
399	German	mountain	55	bɛrk	b ɛ r k	87	b - ɛ r k	c c c c	162-8/b 237-2/j 66-3/æ 117-2/ʁˀ 270-1/w 0/n 0/n 0/n 0/n
400	English	mountain	55	maʊntɪn	m aʊ n t ɪ n	-89	m aʊ n t ɪ n	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
401	Danish	mountain	55	bjæʁˀw	b j æ ʁˀ w	87	b j æ ʁˀ w	c c c c c	162-8/b 237-2/j 66-3/æ 117-2/ʁˀ 270-1/w 0/n 0/n 0/n 0/n 0/n
402	Swedish	mountain	55	bɛrːj	b ɛ rː j	87	b - ɛ rː j	c c c c	162-8/b 237-2/j 66-3/æ 117-2/ʁˀ 270-1/w 0/n 0/n 0/n 0/n 0/n
403	Icelandic	mountain	55	fjat͡l	f j a t͡l	88	f j a t͡l	c c c c	83-15/f 91-5/j 108-3/ɛ 191-2/lˀ 0/n 0/n 0/n 0/n 0/n
404	Dutch	mountain	55	bɛrx	b ɛ r x	87	b - ɛ r x	c c c c	162-8/b 237-2/j 66-3/æ 117-2/ʁˀ 270-1/w 0/n 0/n 0/n 0/n
405	Norwegian	mountain	55	fjel	f j e l	88	f j e l	c c c c	83-15/f 91-5/j 108-3/ɛ 191-2/lˀ 0/n 0/n 0/n
406	Danish	mountain	55	fjɛlˀ	f j ɛ lˀ	88	f j ɛ lˀ	c c c c	83-15/f 91-5/j 108-3/ɛ 191-2/lˀ 0/n 0/n 0/n 0/n
#
407	German	mouth	56	mʊnt	m ʊ n t	90	m ʊ n - t	c c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n
408	English	mouth	56	maʊð	m aʊ ð	90	m aʊ - - ð	c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n 0/n
409	Danish	mouth	56	mɔnˀ	m ɔ nˀ	90	m ɔ nˀ - -	c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n 0/n
410	Swedish	mouth	56	munː	m u nː	90	m u nː - -	c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n 0/n
411	Icelandic	mouth	56	mʏnːʏr	m ʏ nː ʏ r	90	m ʏ nː ʏ r	c c c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n 0/n
412	Dutch	mouth	56	mɔnt	m ɔ n t	90	m ɔ n - t	c c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n
413	Norwegian	mouth	56	mʉn	m ʉ n	90	m ʉ n - -	c c c	157-14/m 268-2/ɔ 197-3/nˀ 209-21/- 253-1/- 0/n 0/n 0/n 0/n
#
414	German	name	57	naːmə	n aː m ə	91	n aː m - ə	c c c c	238-12/n 59-1/ɑ 114-1/wˀ 179-1/n 220-2/- 0/n 0/n 0/n 0/n 0/n
415	English	name	57	neɪm	n eɪ m	91	n eɪ m - -	c c c	238-12/n 59-1/ɑ 114-1/wˀ 179-1/n 220-2/- 0/n 0/n 0/n 0/n 0/n
416	Danish	name	57	nɑwˀn	n ɑ wˀ n	91	n ɑ wˀ n -	c c c c	238-12/n 59-1/ɑ 114-1/wˀ 179-1/n 220-2/- 0/n 0/n 0/n 0/n 0/n
417	Swedish	name	57	namːn	n a mː n	91	n a mː n -	c c c c	238-12/n 59-1/ɑ 114-1/wˀ 179-1/n 220-2/- 0/n 0/n 0/n 0/n 0/n
418	Icelandic	name	57	napn	n a p n	91	n a p n -	c c c c	238-12/n 59-1/ɑ 114-1/wˀ 179-1/n 220-2/- 0/n 0/n 0/n 0/n
419	Dutch	name	57	naːm	n aː m	91	n aː m - -	c c c	238-12/n 59-1/ɑ 114-1/wˀ 179-1/n 220-2/- 0/n 0/n 0/n 0/n 0/n
420	Norwegian	name	57	nɑʋn	n ɑ ʋ n	-91	n ɑ ʋ n	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
750	German	near	103	naːə	n aːə	168	n aːə - -	c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n 0/n
751	English	near	103	nɪər	n ɪə r	168	n ɪə r -	c c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n
752	Danish	near	103	nɛˀʁ	n ɛˀ ʁ	168	n ɛˀ ʁ -	c c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n
753	Swedish	near	103	nɛːra	n ɛː r a	168	n ɛː r a	c c c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n
754	Icelandic	near	103	nauː	n auː	168	n auː - -	c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n 0/n
755	Dutch	near	103	naːbɛɪ	n aː b ɛɪ	168	n aː b ɛɪ	c c c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n 0/n
756	Norwegian	near	103	næːɾ	n æː ɾ	168	n æː ɾ -	c c c	238-12/n 265-1/ɛˀ 264-1/ʁ 311-1/- 0/n 0/n 0/n 0/n
757	English	near	103	kləʊs	k l əʊ s	-169	k l əʊ s	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
758	Dutch	near	103	dɪɣdbɛɪ	d ɪ ɣ d b ɛɪ	167	d ɪ ɣ d b ɛɪ	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
421	German	neck	58	hals	h a l s	92	h a l s	c c c c	229-9/h 18-1/a 204-2/lˀ 256-3/s 0/n 0/n 0/n
422	English	neck	58	nɛk	n ɛ k	93	n ɛ k	c c c	238-12/n 66-3/æ 294-8/k 0/n 0/n
423	Danish	neck	58	halˀs	h a lˀ s	92	h a lˀ s	c c c c	229-9/h 18-1/a 204-2/lˀ 256-3/s 0/n 0/n 0/n 0/n
424	Swedish	neck	58	halːs	h a lː s	92	h a lː s	c c c c	229-9/h 18-1/a 204-2/lˀ 256-3/s 0/n 0/n 0/n 0/n
425	Icelandic	neck	58	hauls	h au l s	92	h au l s	c c c c	229-9/h 18-1/a 204-2/lˀ 256-3/s 0/n 0/n 0/n 0/n
426	Dutch	neck	58	hɑls	h ɑ l s	92	h ɑ l s	c c c c	229-9/h 18-1/a 204-2/lˀ 256-3/s 0/n 0/n 0/n
427	Norwegian	neck	58	hɑls	h ɑ l s	92	h ɑ l s	c c c c	229-9/h 18-1/a 204-2/lˀ 256-3/s 0/n 0/n 0/n
428	Dutch	neck	58	nɛk	n ɛ k	93	n ɛ k	c c c	238-12/n 66-3/æ 294-8/k 0/n 0/n
#
429	German	new	59	nɔy	n ɔy	94	n - ɔy -	c c	238-12/n 74-1/- 125-2/yˀ 87-2/- 0/n 0/n 0/n 0/n
430	English	new	59	njuː	n j uː	94	n j uː -	c c c	238-12/n 74-1/- 125-2/yˀ 87-2/- 0/n 0/n 0/n 0/n
431	Danish	new	59	nyˀ	n yˀ	94	n - yˀ -	c c	238-12/n 74-1/- 125-2/yˀ 87-2/- 0/n 0/n 0/n 0/n
432	Swedish	new	59	nyː	n yː	94	n - yː -	c c	238-12/n 74-1/- 125-2/yˀ 87-2/- 0/n 0/n 0/n 0/n
433	Icelandic	new	59	niːr	n iː r	94	n - iː r	c c c	238-12/n 74-1/- 125-2/yˀ 87-2/- 0/n 0/n 0/n 0/n
434	Dutch	new	59	niːʋ	n iː ʋ	94	n - iː ʋ	c c c	238-12/n 74-1/- 125-2/yˀ 87-2/- 0/n 0/n 0/n 0/n
